1590633600000,63.0,9203.3,9221.7,9200.0,9215.9,2439.0,9209.2350143501435014350143501435014350143501435014
1590633900000,40.0,9212.2,9212.2,9200.4,9202.3,2329.0,9203.9821811936453413482181193645341348218119364534
1590634200000,33.0,9205.4,9215.4,9203.0,9212.0,1390.0,9210.2030215827338129496402877697841726618705035971
1590634500000,36.0,9212.0,9216.0,9207.5,9216.0,950.0,9211.8529473684210526315789473684210526315789473684
1590634800000,35.0,9214.8,9214.8,9204.0,9206.5,853.0,9210.4747948417350527549824150058616647127784290739
1590635100000,66.0,9206.1,9208.1,9192.1,9195.4,1944.0,9199.5932098765432098765432098765432098765432098765
1590635400000,45.0,9195.0,9203.2,9194.5,9197.5,1014.0,9198.865187376725838264299802761341222879684418146
1590635700000,42.0,9197.8,9203.8,9194.2,9197.4,1251.0,9198.8068745003996802557953637090327737809752198241
1590636000000,16.0,9197.0,9203.4,9196.1,9201.6,355.0,9199.94
1590636300000,16.0,9200.3,9205.1,9198.1,9198.1,204.0,9200.5308823529411764705882352941176470588235294118
1590636600000,53.0,9198.0,9198.0,9184.2,9187.4,1674.0,9187.2924133811230585424133811230585424133811230585
1590636900000,39.0,9186.8,9194.3,9184.2,9193.3,1365.0,9189.0361172161172161172161172161172161172161172161
1590637200000,39.0,9194.0,9199.4,9184.0,9186.0,1210.0,9192.0038842975206611570247933884297520661157024793
1590637500000,49.0,9186.2,9186.2,9178.0,9184.1,3396.0,9182.0124558303886925795053003533568904593639575972
1590637800000,48.0,9182.0,9182.9,9168.0,9175.1,1563.0,9173.8463211772232885476647472808701215611004478567
1590638100000,40.0,9175.4,9180.7,9170.2,9178.6,2440.0,9176.9548770491803278688524590163934426229508196721
1590638400000,110.0,9178.0,9178.0,9146.0,9173.5,8902.0,9157.0760166254774208043136373848573354302403954168
1590638700000,75.0,9173.6,9191.8,9173.2,9189.8,2871.0,9183.4112504353883664228491814698711250435388366423
1590639000000,52.0,9189.9,9197.9,9188.1,9193.2,2072.0,9191.9763996138996138996138996138996138996138996139
1590639300000,34.0,9191.5,9197.2,9188.1,9197.2,1692.0,9192.9433806146572104018912529550827423167848699764
1590639600000,35.0,9195.1,9201.9,9194.0,9201.9,1028.0,9198.7295719844357976653696498054474708171206225681
1590639900000,46.0,9200.4,9211.4,9196.1,9211.4,2375.0,9202.9911157894736842105263157894736842105263157895
1590640200000,25.0,9208.0,9208.0,9201.4,9202.8,1551.0,9203.8421663442940038684719535783365570599613152805
